products,price,link
pcb,$9.16 ,upload the gerber files to https://jlcpcb.com
battery,"2,83 $","https://www.aliexpress.com/item/1005007322229008.html?spm=a2g0o.productlist.main.10.2663hUjFhUjFrC&algo_pvid=733906f0-53d7-4960-9157-087f4310dbea&algo_exp_id=733906f0-53d7-4960-9157-087f4310dbea-9&pdp_ext_f=%7B""order""%3A""510""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%212.91%212.45%21%21%2122.23%2118.72%21%4021613a6017870655451167265e0db2%2112000040255718426%21sea%21GR%216982496912%21ABX%211%210%21n_tag%3A-29910%3Bd%3A32170391%3Bm03_new_user%3A-29895&curPageLogUid=cjTRTdt8P6xc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007322229008%7C_p_origin_prod%3A"
MDDSS14,$0.93 ,https://www.lcsc.com/product-detail/C2480.html?s_z=n_q_x_SS14&spm=wm.ssy.em.0.tz&lcsc_vid=QlJdAVJVQwAKAQUFE1ZfAwAATldcVgJfFANYUVVXR1QxVlNeQFFYUlxVR1ZcUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
ESP32-S3-WROOM,"2,62 $","https://www.aliexpress.com/item/1005009100488821.html?spm=a2g0o.productlist.main.25.6dbe264eZVt0Jb&algo_pvid=5dc7d51a-0f59-4f7a-9919-f3ca3d2b9acb&algo_exp_id=5dc7d51a-0f59-4f7a-9919-f3ca3d2b9acb-24&pdp_ext_f=%7B""order""%3A""254""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%212.27%212.27%21%21%212.57%212.57%21%400b8848e317870667844067715e0eb2%2112000047943724790%21sea%21GR%216982496912%21ABX%211%210%21n_tag%3A-29910%3Bd%3A32170391%3Bm03_new_user%3A-29895&curPageLogUid=xy1r6oL1vAeT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009100488821%7C_p_origin_prod%3A"
Motors,"7,73 $",https://www.aliexpress.com/item/1005005835785325.html?exp_tag=shoparize&src=google-shoparize&albch=shopping&acnt=589-505-6707&slnk=&plac=&mtctp=&albbt=Google_7_shopping&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005005835785325&ds_e_product_merchant_id=5822395230&ds_e_product_country=GR&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=24013368121&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=24008945981&gclid=CjwKCAjwhZDUBhBGEiwAbi5bjkvsV9c-kK1Mtaonq0J_RKu1mOLzGOEeXzJeE5D11vodRtwX6oId7xoCbIsQAvD_BwE&aff_fcid=06a44e3ffd0b459aad9ad7e58d695840-1787065035255-02800-_c3038Ezj&tt=CPS_NORMAL&aff_fsk=_c3038Ezj&aff_platform=portals-tool&sk=_c3038Ezj&aff_trace_key=06a44e3ffd0b459aad9ad7e58d695840-1787065035255-02800-_c3038Ezj&terminal_id=c5cc9178e81e4018a56808e45e024b37&afSmartRedirect=y
TOTAL,23.27$,
,,
,,
,,
TOOLS,price,link
hot air station,"38,21",https://www.sellero.eu/el/p/stathmos-kolleses-kolleteri-thermou-aera-bigstren-21708?gad_source=1&gad_campaignid=24026820848&gclid=CjwKCAjwhZDUBhBGEiwAbi5bjmp0nbyOrw12zsDL0NeOdrRH6BqRWroAb-V43qidaHKHMCK34AIjfRoC1bsQAvD_BwE
usb-c data,"6,98 $",https://www.gadget4you.gr/kalothio-fortises-samsung-ep-dn930cwe-usb-c-1-2m-bulk-leeko-1630544751.html?gad_source=1&gad_campaignid=18793985678&gclid=CjwKCAjwhZDUBhBGEiwAbi5bji67DTyceR102R_oxD6Ec7Ul_3h7DWrFWitlh2u7qgmn0xoEtu1c6RoCyDsQAvD_BwE
solder paste,"6,34 $",https://grobotronics.com/solder-paste-easy-print-sn62pb36ag2-6g.html
PINECIL ,$25.99 ,https://pine64.com/product/pinecil-smart-mini-portable-soldering-iron/
total,77.52$,
